449	능력	Ability, capability, how much and how well	能力	ability	能力	faculty
450	주장하다	To assert,maintain
451	자식	one’s children	子息	one's children
452	불	Fire
453	주민	inhabitants,dwellers	住民	citizen	住民	population
454	모으다	gather,get together
455	자료	materials,data	資料	data	資料	material
456	존재	Existence	存在	existence
457	학년	A school year	學年	a school year
458	신문	A newspaper	新聞	a newspaper
459	가지다	Entertain or hold or have
460	이해하다	To understand	理解-	to understand
461	제품	Manufactured goods	製品	manufactured goods
462	분야	Field	分野	field
463	선생	Teacher	先生	master	先生	teacher
464	사업	Business	事業	business	事業	enterprise	事業	industry
465	행위	An act, deed, behavior	行爲	act	行爲	deed
466	수준	Level	水準	level
467	지난해	Last year
468	표현	Verbal expression, representation, manifestation	表現	expression	表現	presentation
469	기분	Mood	氣分	mood
470	대	Era, period	代	era, period	對	versus; a pair, counterpart
471	젊다	To be young,youthful
472	옷	Clothes
473	기능	Function or functionality	機能	faculty	機能	function	技能	ability, capacity, skill
474	순간	A moment,a second	瞬間	instant	瞬間	moment
475	전쟁	War	戰爭	war
476	전	Before	前	before	全	all, every
477	꿈	A Dream
478	할머니	Grandmother
479	회의	A meeting, a conference	會議	assembly	會議	conference	會議	council	懷疑	doubt, skepticism
480	방송	Broadcast	放送	broadcast	放送	broadcasting
481	이야기하다	To talk
482	나무	Tree
483	자다	To sleep
484	연극	drama,a play	演劇	drama, a play
485	마찬가지	The same
486	걷다	To walk
487	노동	Labor, work	勞動	labor, work
488	이때	At this time, moment
489	과거	The past	過去	the past	科擧	the state examination
490	가치	Price	價値	merit	價値	value
491	시간	a Length of time (한시간 동안)	時間	time
492	집단	A group, a collective body	集團	mass
493	현대	The present age, times	現代	modern times	現代	nowadays
494	살펴보다	Watch closely
495	장관	A government cabinet minister	長官	chief	長官	secretary	壯觀	spectacle
496	차이	difference,disparity	差異	difference, disparity
497	풀다	Untie, loosen ; to melt into
498	시절	season,time,occasion	時節	season, time, occasion
499	물건	A thing	物件	a thing
500	직접	Directly	直接	directly
501	개인	Private or individual
502	근데	But or however
503	발	Foot
504	작가	writer,author	作家	writer, author
505	효과	Effect, effectiveness	效果	effect
506	불교	Buddhism	佛敎	Buddhism
507	끌다	Pull
508	대로	Like, according to
509	빨리	Quickly
510	시작되다	To begin,start	始作-	to begin, to start
511	말다	Cease
512	설명하다	To explain	說明-	to explain
513	우주	The universe	宇宙	space	宇宙	universe
514	시기	An opportunity,chance	時期	time	時機	an opportunity, a chance
515	마치	As though, as if
516	살	Years old
517	생산	1) production 2)birth	生産	production
518	바라다	Wish, hope
519	강하다	To be strong or powerful	强-	to be strong,  powerful
520	경험	Experience or undergo or suffer	經驗	experience
521	음악	Music	音樂	music
522	최고	The best	最高	the best
523	나타내다	Show, display
524	아프다	To hurt
525	적다	To be small, few in number
526	비	Rain	碑	a monument
527	고향	Hometown	故鄕	hometown
528	놀라다	Be surprised
529	다양하다	To be various, diverse	多樣-	to be various, diverse
530	울다	To cry, weep
531	농민	A farmer	農民	peasant
532	은행	A bank	銀行	bank
533	지내다	To pass, spend time
534	결혼	Marriage	結婚	marriage
535	법	A law, the law	法	a law, the law	法	a way, a method
536	소설	A novel, fiction story	小說	a novel, fiction story
537	예	Yes, certainly, right	例	example
538	오후	The afternoon	午後	afternoon
539	질서	Order, system	秩序	method	秩序	regularity
540	담다	Put in a bottle
541	모이다	Meet, assemble
542	시민	Residents of a city	市民	citizen
543	회장	Chariman, the president	會長	chairman	回腸	ileum	會場	meeting place
544	빠르다	Be fast, quick
545	스스로	On its own, of its own free will
546	아기	baby,infant
547	아저씨	Sir, calling an unknown male
548	옛날	Ancient times, antiquity
549	이날	Today, this day
550	제대로	As properly is suitable
551	달	The moon
552	던지다	To throw
553	참	really,truly
554	공간	Space or room	空間	space
555	이곳	This place, here
556	마지막	Last, final
557	벌이다	(1) to plan to start a job/project (2) to play a table game
558	병원	Hospital	病院	hospital
559	자세	Position, posture	姿勢	attitude	姿勢	posture
560	강조하다	Place empasis upon	强調-	place empasis upon
561	경찰	The police	警察	police
562	맡다	Take charge of
563	저녁	Evening
564	한편	One side, one way	-便	one side, one way
565	그러면	If so or if that is the case
566	기자	A journalist	記者	a journalist
567	넓다	Broad
568	시험	A test	試驗	examination
569	잠	Sleep
570	주로	principally,mainly	主-	principally, mainly
571	훨씬	By far, very much so
572	면	Side	面	side	面	subdivision of a county	綿	cotton
573	통일	Unification	統一	unification
574	건강	Health	健康	health
575	가깝다	Close
576	건물	Building	建物	building
577	시설	establishment,institution	施設	facility
578	외국	A foreign country	外國	a foreign country
579	밑	The bottom
580	어른	A man, an adult
581	주변	A circumference	周邊	circumference	周邊	outskirts
582	대신	Instead of	代身	instead of
583	원인	A cause,a factor	原因	cause	原因	source
584	팔다	To sell
585	차례	(1) order,precedence (2) one time, one round	次例	order, precedence; one time, one round
586	군	An army	軍	an army	君	Mister	郡	a county or district
587	열심히	Enthusiastically,with zeal
588	일하다	To work, labor
589	재산	property,fortune, assets, possessions	財産	asset	財産	fortune	財産	property
590	팀	Team
591	부모	Parents	父母	parents
592	약간	Somewhat	若干	somewhat	若干	some, a little
593	언어	language,speech	言語	language
594	요구하다	To demand,claim,request	要求	demand	要求	require	要求	requisition
595	올라가다	To go up, ascend
596	첫	First
597	감독	The director	監督	superintendence	監督	supervision
598	그날	That day or that same day
599	사실	Actually, really	事實	fact	事實	reality	事實	truth
600	자주	Always, constantly	自主	independence
601	당하다	Have, encounter	當-	to have, to encounter
602	삼다	Make a thing of
603	약	About, approximately	約	about, approximately	藥	medicine
604	기간	A period or a time or	期間	period	期間	term
605	담배	Tobacco
606	일으키다	Riase, get up; start, commence
607	일단	Temporarily	一旦	temporarily
608	할아버지	Grandfather
609	조직	Organization (composition, structure)	組織	group, organization
610	태어나다	To be born, see the light of day
611	공장	Construction site	工場	factory	工場	workshop
612	벌써	Already
613	즐기다	Enjoy oneself,take pleasure,delight
614	지	since,from
615	환자	A patient	患者	a patient
616	변하다	Change	變-	change
617	사고	An accident	事故	accident	思考	thought, contemplation
618	그래도	All the same
619	아무리	However much
620	맞추다	Adjust, adapt
621	쌀	Uncooked rice
622	일반	universal,common,usual	一般	general
623	재미있다	interesting,fun
624	가르치다	To teach
625	대화	Conversation	對話	conversation	對話	dialogue
626	막다	Stop, obstruct
627	올해	This year
628	형	An elder brother	兄	an elder brother	型	shape, form
629	달리	Differently
630	버리다	Throw away
631	붙이다	affix,put on
632	인물	A man, a person	人物	character	人物	personage	人物	personality
633	늘	Always
634	모두	everything
635	전국	The whole country	全國	the whole country
636	마치다	Finish, complete
637	전	all,every	前	before	全	all, every
638	다만	Only, merely
